Time,Sensor 0(F),Sensor 1(F),Sensor 2(F),Sensor 3(F),Ambient
1636126350,66.20,66.02,,64.40,51.8
1636126354,66.20,66.02,,64.40,51.8
1636126358,66.20,66.02,,64.40,51.8
1636126363,66.20,66.02,,64.40,51.8
1636126367,66.02,66.02,,64.40,51.8
1636126371,66.20,66.02,,64.40,51.8
1636126374,66.20,66.02,,64.58,51.8
1636126378,66.20,66.02,,64.58,51.8
1636126381,66.38,66.02,,64.40,51.8
1636126385,66.20,66.02,,64.58,51.8
1636126389,66.20,66.02,,64.58,51.8
1636126393,66.20,66.02,,64.58,51.8
1636126397,66.38,66.02,,64.58,51.8
1636126400,66.38,66.02,,64.58,51.8
1636126404,66.20,66.02,,64.58,51.8
1636126408,66.20,66.02,,64.58,51.8
1636126412,66.38,66.02,,64.58,51.8
1636126416,66.38,66.02,,64.58,51.8
1636126419,66.38,66.02,,64.58,51.8
1636126423,66.38,65.84,,64.58,51.8
1636126427,66.38,66.02,,64.58,51.8
1636126431,66.20,66.02,,64.58,51.8
1636126435,66.38,66.02,,64.58,51.8
1636126438,66.20,66.02,,64.58,51.8
1636126442,66.20,66.02,,64.58,51.8
1636126446,66.38,66.20,,64.58,51.8
1636126449,66.38,66.02,,64.58,51.8
1636126453,66.20,66.02,,64.58,51.8
1636126457,66.38,66.02,,64.58,51.8
1636126461,66.20,66.02,,64.58,51.8
1636126465,66.38,66.02,,64.58,51.8
1636126468,66.38,66.02,,64.76,51.8
1636126472,66.38,66.02,,64.58,50.9
1636126476,66.56,66.02,,64.76,50.9
1636126479,66.56,66.02,,64.58,50.9
1636126483,66.38,66.02,,64.58,50.9
1636126487,66.56,66.20,,64.58,50.9
1636126490,66.38,66.02,,64.58,50.9
1636126494,66.38,66.02,,64.58,50.9
1636126498,66.38,66.02,,64.76,50.9
1636126503,66.38,66.20,,64.58,50.9
1636126509,66.38,66.20,,64.58,50.9
1636126514,66.56,66.02,,64.58,50.9
1636126518,66.38,66.02,,64.58,50.9
1636126522,66.56,66.20,,64.58,50.9
1636126526,66.38,66.20,,64.58,50.9
1636126531,66.38,66.02,,64.76,50.9
1639848097,59.82,59.82,,59.82,59.0
1639848102,59.82,59.82,,59.65,59.0
1639848107,59.82,59.82,,59.65,59.0
1639848112,59.82,59.98,,59.65,59.0
1639848116,59.98,59.98,,59.65,59.0
1639848120,59.82,59.98,,59.65,59.0
1639848124,59.98,59.82,,59.65,59.0
1639848128,59.98,59.82,,59.82,59.0
1639848131,59.98,59.82,,59.65,59.0
1639848135,59.82,59.98,,59.65,59.0
1639848140,59.98,59.82,,59.65,59.0
1639848144,59.98,59.98,,59.65,59.0
1639848149,59.98,59.98,,59.82,59.0
1639848154,59.98,59.82,,59.82,59.0
1639848158,59.98,59.82,,59.65,59.0
1639848162,59.98,59.98,,59.82,59.0
1639848167,59.98,59.98,,59.82,59.0
1639848172,59.98,59.98,,59.82,59.0
1642090111,60.98,60.80,,60.64,48.2
1642090117,60.98,60.98,,60.64,48.2
1642090121,61.16,60.80,,60.80,48.2
1642090125,60.98,60.80,,60.47,48.2
1642090128,60.98,60.98,,60.80,48.2
1642090132,61.16,60.98,,60.64,48.2
1642090136,61.16,60.98,,60.64,48.2
1642090139,60.98,60.98,,60.64,48.2
1642090144,60.98,60.98,,60.64,48.2
1642090149,60.98,60.98,,60.64,48.2
1642090154,60.98,60.98,,60.64,48.2
1642090158,61.16,60.80,,60.64,48.2
1642090162,60.98,61.16,,60.64,48.2
1642090165,60.98,60.80,,60.64,47.3
1642090169,60.98,60.80,,60.64,47.3
1642090172,60.98,60.80,,60.47,47.3
1642090176,60.98,60.98,,60.64,47.3
1642090179,60.98,60.98,,60.64,47.3
1642090183,61.16,60.80,,60.64,47.3
1642090186,60.98,61.16,,60.64,47.3
1642090190,60.98,60.80,,60.47,47.3
1642090193,61.16,60.98,,60.64,47.3
1642090197,61.16,60.98,,60.64,47.3
1642090200,60.98,60.98,,60.47,47.3
1642090204,60.98,60.80,,60.64,47.3
1642090207,60.98,60.98,,60.47,46.4
1642090211,60.98,60.80,,60.47,46.4
1642090214,60.98,60.80,,60.47,46.4
1642090218,60.98,60.98,,60.64,46.4
1642090221,60.98,60.98,,60.64,46.4
1642090225,60.98,60.80,,60.64,46.4
1642090228,60.98,60.98,,60.47,46.4
1642090231,60.98,60.80,,60.47,46.4
1642090235,60.80,60.98,,60.47,46.4
1642090238,60.98,60.80,,60.47,46.4
1642090242,60.98,60.80,,60.47,46.4
1642090245,60.98,60.98,,60.64,46.4
1642090249,60.98,60.98,,60.64,46.4
1642090252,60.80,60.80,,60.47,46.4
1642090256,60.98,60.80,,60.64,45.5
1642090260,60.98,60.98,,60.47,45.5
1642090263,60.98,60.80,,60.47,45.5
